縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價
台北市,大安區,敦化南路二段,-0.2567159967515666,,11,11,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.583333333333336,-0.1741537284238003,-0.8193256863726953,0.0,305266,2768378,,0.3939259499634779,0.183700022167676,-0.4384519028208025,4.627714497782282
高雄市,鳳山區,北忠街,0.1819205432726367,,10,15,集合住宅,其他,住宅大樓(11層含以上有電梯),6.166666666666667,0.4233660286132435,0.1616243247560272,1.0,184815,2504666,,-0.0988707037736512,-0.3606204496398243,1.5258812313511467,1.4890721792686148
新北市,新莊區,福前街,0.0855940267849369,,9,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.833333333333334,0.1642492878212176,0.5246530690320114,1.0,296653,2772355,,-0.0711473558596224,0.3150877222591419,0.2319835364509276,2.051217072136734
台北市,萬華區,國興路,0.2605102910058646,,2,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),39.333333333333336,-0.411438016554857,-0.8193256863726953,0.0,301365,2768583,,-0.3712950307247742,-0.6182768485204907,-0.4384519028208025,2.238598703092774
新北市,樹林區,信義街,0.8564224607445157,,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),46.0,-0.8687704459793637,-0.8193256863726953,0.0,292687,2763850,,-0.2454083998906624,-1.6420771089734696,-0.4384519028208025,1.348535956051585
新北市,永和區,民樂街,0.7361585165068786,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.833333333333336,-0.4229287811132617,-0.8193256863726953,0.0,303269,2765580,,-0.1093376820677236,1.9139224623332105,-0.4384519028208025,2.074639776006239
桃園市,中壢區,龍仁路,-0.3265094607935527,,15,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.333333333333333,-0.5183021269480205,1.1147678788763766,1.0,273749,2758835,,-0.7778098363621193,-0.5039524861032414,-0.1630182350945183,1.254845140573565
新北市,泰山區,泰林路二段,-0.3333109588389669,,5,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.75,-0.3039993679337732,1.4901550484894155,1.0,292757,2772935,,-0.0063652469584726,0.0147729791929347,-0.3231540884237535,1.348535956051585
台中市,南區,五權南路,-0.8230188181087694,,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.5,-0.3855837962984463,-0.8193256863726953,0.0,216486,2667851,,-0.353755769799572,0.0949706662617512,-0.4384519028208025,1.114308917356535
台中市,南屯區,向上路二段,0.1009514729016135,,5,25,住家用,鋼骨造,住宅大樓(11層含以上有電梯),7.166666666666667,2.1113593422428925,1.34339874761189,2.0,213748,2671323,,1.7291729107207985,0.6000454614185544,1.0732305526071753,2.051217072136734
新北市,新店區,北宜路二段,-1.1749182328824468,,17,18,住家用,鋼骨造,住宅大樓(11層含以上有電梯),21.166666666666668,-0.9561002566232392,-0.2987270190492629,1.0,305635,2760725,,-0.7959148798978117,-0.4374054691737978,-0.011422960609509,1.8638354411806943
台北市,文山區,新光路一段,1.1998139945709263,,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.58333333333333,-0.309170211985055,-0.8193256863726953,0.0,307965,2765089,,-0.1721395518321568,0.4874274327687266,0.9301758569663924,2.472825741787824
新北市,深坑區,文化街,-0.592368723614644,,4,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.5246220474551434,-0.8193256863726953,0.0,312552,2766008,,-0.4451296613937701,-0.2309390833157804,-0.0199635394537349,1.676453810224655
新北市,三峽區,大觀路,0.2740652199726967,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.166666666666666,0.664672084339742,0.3840759808230132,1.0,287719,2760030,,0.5911011897193791,0.0608439909133187,0.2874972989383961,1.8638354411806943
新北市,樹林區,保安街二段,0.6884759295029875,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),32.166666666666664,-0.147150431711549,-0.8193256863726953,0.0,291632,2766676,,0.5251875155972483,0.7928611771371986,-0.4384519028208025,1.2079997328345549
台北市,大安區,永康街,0.3054049848179962,,2,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),7.833333333333333,0.3641885911374593,1.3279507159405717,3.0,303452,2769440,,-0.2884078782879319,-0.3725647860117757,1.423394285220436,5.564622652562481
